player_name,teams,FG%,3PT FG%,FT%,SPG,BPG,PPG,APG,RPG,games_played
Terance Mann,Clippers,80.68,39.36,76.36,0.61,0.42,28.1,2.3,3.4,76
Kawhi Leonard,Clippers,72.55,41.49,86.67,1.0,0.5,49.9,3.9,6.4,50
Bruno Fernando,"Rockets, Hawks",87.41,0.0,71.74,0.2,0.37,21.6,0.7,3.6,35
Eric Gordon,"Clippers, Rockets",72.17,37.65,80.79,0.83,0.46,30.6,2.7,1.9,63
Jalen Green,Rockets,66.63,34.81,79.12,1.58,1.37,48.7,3.6,3.7,67
Kevin Porter Jr.,Rockets,73.79,34.95,77.16,2.22,1.02,53.0,5.6,5.4,51
Jabari Smith Jr.,Rockets,75.25,30.21,78.42,0.89,0.44,44.5,1.2,7.1,70
Kenyon Martin Jr.,Rockets,81.99,31.35,68.04,0.42,0.63,36.7,1.6,5.5,73
Tari Eason,Rockets,79.47,36.0,75.56,0.66,0.75,35.8,1.1,5.9,73
Alperen Sengun,Rockets,85.12,32.65,71.65,1.31,0.82,57.7,4.1,9.2,67
Josh Christopher,Rockets,73.64,24.69,74.07,0.7,0.32,16.7,1.1,1.1,57
Garrison Mathews,"Rockets, Hawks",71.74,34.78,90.2,0.15,0.04,14.3,0.5,1.4,48
Richard Manning,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Joe Harris,Nets,77.31,43.58,66.67,0.29,0.31,24.4,1.4,2.4,65
Stacey Augmon,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jamie Watson,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Naz Reid,Timberwolves,81.14,35.2,67.27,0.59,0.49,36.3,1.1,5.1,61
Michael Finley,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Tony Massenburg,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Clint Capela,Hawks,88.83,0.0,60.18,0.36,0.45,49.4,0.9,11.2,58
John Collins,Hawks,80.12,26.7,81.1,0.6,0.68,42.6,1.2,6.5,63
Trae Young,Hawks,68.3,33.99,88.28,3.06,1.11,57.3,10.3,2.9,64
Dejounte Murray,Hawks,70.31,35.21,82.39,1.46,0.74,49.9,6.0,5.4,65
De'Andre Hunter,Hawks,72.83,34.85,82.9,0.72,0.64,40.2,1.4,4.3,61
Onyeka Okongwu,Hawks,89.45,33.33,77.36,0.35,0.56,40.0,1.0,7.3,71
Cole Anthony,Magic,75.04,35.42,89.74,0.86,0.36,37.1,4.0,4.8,56
Jalen Johnson,Hawks,81.57,27.27,60.32,0.26,0.39,23.9,1.2,4.2,62
Aaron Holiday,Hawks,76.53,41.03,85.71,0.35,0.3,14.9,1.5,1.3,54
Justin Holiday,"Mavericks, Hawks",73.12,31.78,62.5,0.34,0.22,15.9,0.9,1.2,41
Kevon Harris,Magic,80.55,35.0,76.32,0.3,0.27,15.6,0.5,2.0,33
Steve Scheffler,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Adrian Caldwell,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Andrew Nembhard,Pacers,74.41,31.67,79.31,1.17,0.38,30.4,4.5,2.8,64
James Johnson,Pacers,81.15,16.67,50.0,0.21,0.21,14.6,1.0,1.9,14
Steven Smith,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Willy Hernangomez,Pelicans,84.69,27.27,77.78,0.34,0.51,26.0,0.9,4.7,35
Grant Hill,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Zach LaVine,Bulls,70.48,35.91,84.62,1.47,0.94,52.0,4.2,4.4,68
Robin Lopez,Cavaliers,90.28,66.67,70.0,0.24,0.14,13.8,0.5,1.5,29
Derrick Jones Jr.,Bulls,82.6,32.88,74.03,0.15,0.35,19.3,0.5,2.5,55
Dalen Terry,Bulls,74.17,16.67,75.0,0.1,0.23,8.0,0.6,1.0,30
Lamar Stevens,Cavaliers,80.12,32.5,70.59,0.25,0.53,22.7,0.5,3.5,51
Isaiah Mobley,Cavaliers,79.55,60.0,100.0,0.0,0.29,10.7,0.1,2.0,7
Tony Bradley,Bulls,80.0,75.0,100.0,0.0,0.0,4.3,0.1,1.0,11
Marko Simonovic,Bulls,64.29,25.0,50.0,0.0,0.0,4.0,0.0,0.4,5
Brook Lopez,Bucks,81.61,37.46,79.33,0.48,0.31,49.9,1.3,6.8,71
Grayson Allen,Bucks,76.62,40.24,90.27,0.64,0.29,31.9,2.2,3.2,66
Usman Garuba,Rockets,89.35,39.22,59.52,0.21,0.23,20.8,0.8,4.2,66
Jrue Holiday,Bucks,74.57,39.58,84.67,2.0,0.67,51.2,7.1,5.1,61
Giannis Antetokounmpo,Bucks,80.27,26.42,64.05,1.44,1.27,83.5,5.7,11.9,59
Jevon Carter,Bucks,75.64,42.67,80.0,0.49,0.18,26.7,2.4,2.4,74
Greg Anthony,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Daishen Nix,Rockets,76.05,27.78,66.67,1.16,0.24,19.7,2.4,1.8,49
Jordan Nwora,"Bucks, Pacers",75.55,40.22,76.62,0.72,0.5,27.7,1.5,3.8,54
Bobby Portis,Bucks,79.99,37.34,76.52,0.52,0.49,48.7,1.6,9.7,63
George Hill,"Bucks, Pacers",81.11,35.23,74.51,0.3,0.16,18.0,2.5,1.9,43
Serge Ibaka,Bucks,84.4,42.86,61.54,0.21,0.21,18.0,0.3,2.9,14
Wesley Matthews,Bucks,77.93,29.31,85.71,0.21,0.02,15.6,0.6,2.2,48
Trevor Hudgins,Rockets,41.67,25.0,100.0,0.25,0.0,3.8,0.8,0.0,4
MarJon Beauchamp,Bucks,75.09,33.86,74.29,0.33,0.33,18.9,0.7,2.3,46
Boban Marjanovic,Rockets,90.91,0.0,73.08,0.35,0.08,11.5,0.3,2.0,26
Sandro Mamukelashvili,"Bucks, Spurs",77.82,31.11,67.27,0.31,0.26,23.3,1.3,4.2,39
Payton Pritchard,Celtics,71.73,37.41,75.0,0.53,0.2,16.8,1.4,1.9,45
Luke Kornet,Celtics,90.32,23.08,81.08,0.16,0.11,17.4,0.8,3.0,61
Isaiah Livers,Pistons,76.07,36.78,79.31,0.39,0.16,22.9,0.8,2.9,44
Kevin Garnett,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Keegan Murray,Kings,74.76,41.16,76.0,0.39,0.51,35.4,1.2,4.6,74
Amir Coffey,Clippers,73.68,27.03,77.42,0.26,0.37,14.1,1.3,1.3,38
Melvin Booker,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
George Zidek,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Aaron Wiggins,Thunder,81.88,38.6,83.82,0.45,0.45,24.5,1.1,3.0,66
Zeke Nnaji,Nuggets,86.12,27.78,63.16,0.15,0.23,20.4,0.4,2.7,47
Lindy Waters III,Thunder,71.68,36.49,80.0,0.11,0.05,14.9,0.7,1.8,38
Christian Laettner,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Malachi Flynn,Raptors,69.23,37.27,79.17,0.25,0.2,14.5,1.4,1.4,44
Jaylin Williams,Thunder,83.42,41.12,69.39,0.2,0.36,29.7,1.6,5.1,45
Isaiah Joe,Thunder,73.04,41.98,82.29,0.38,0.16,24.8,1.3,2.5,68
Nathan Knight,Timberwolves,86.06,38.89,66.67,0.4,0.17,13.2,0.3,1.7,30
Wendell Moore Jr.,Timberwolves,72.46,7.69,80.0,0.21,0.11,5.5,0.8,0.5,19
Landry Shamet,Suns,67.26,37.56,88.24,0.55,0.34,23.0,2.4,1.7,38
Michael Adams,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jason Preston,Clippers,74.07,29.41,0.0,0.64,0.0,11.4,2.5,1.6,11
Duane Washington Jr.,Suns,62.54,39.13,71.43,0.73,0.46,18.7,2.1,1.2,26
Moses Brown,"Clippers, Nets",89.61,0.0,45.83,0.15,0.33,19.3,0.1,4.2,33
Brandon Boston Jr.,Clippers,66.13,44.0,77.78,0.21,0.58,15.0,0.8,1.3,19
Troy Brown Jr.,Lakers,79.31,40.76,82.76,0.29,0.39,27.0,1.3,4.2,66
Bob Sura,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AJ Griffin,Hawks,72.61,39.29,87.8,0.35,0.32,22.5,1.0,2.1,65
Tyrese Martin,Hawks,69.23,0.0,100.0,0.22,0.22,6.2,0.2,1.2,9
Jaxson Hayes,Pelicans,85.71,7.69,68.0,0.37,0.16,18.8,0.7,2.8,43
Dell Demps,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Stacey King,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Chimezie Metu,Kings,86.74,25.0,73.91,0.22,0.17,19.0,0.6,3.0,59
Shake Milton,76ers,76.78,37.4,83.0,0.64,0.52,25.1,3.1,2.5,66
Paul Reed,76ers,88.89,0.0,75.51,0.28,0.24,21.3,0.4,3.8,58
Furkan Korkmaz,76ers,74.35,35.29,68.97,0.34,0.24,10.9,0.5,1.1,29
Jaden Springer,76ers,77.63,50.0,75.0,0.21,0.21,9.0,0.5,0.9,14
Chris Boucher,Raptors,79.69,31.48,74.52,0.21,0.47,30.1,0.4,5.4,68
Haywood Highsmith,Heat,81.92,34.04,50.0,0.53,0.18,23.0,0.9,3.7,45
Khem Birch,Raptors,87.96,0.0,66.67,0.06,0.06,10.7,0.4,1.3,18
Kevin Pritchard,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Justin Jackson,Celtics,66.07,26.32,50.0,0.0,0.06,4.4,0.5,0.9,18
Malcolm Hill,Bulls,77.78,33.33,0.0,0.0,0.0,7.5,0.0,1.5,2
Dillon Brooks,Grizzlies,68.97,32.26,80.65,0.81,0.35,38.4,2.4,3.2,63
Bobby Phills,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Keith Tower,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Keon Johnson,Trail Blazers,70.32,35.06,66.67,0.61,0.17,15.0,1.4,1.1,36
Greg Brown III,Trail Blazers,75.41,16.67,25.0,0.0,0.25,7.9,0.2,1.2,12
Jabari Walker,Trail Blazers,77.83,30.77,74.42,0.31,0.25,16.2,0.6,2.5,48
Simone Fontecchio,Jazz,68.12,32.95,79.55,0.49,0.35,20.3,0.9,1.8,43
Cherokee Parks,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Facundo Campazzo,Mavericks,64.29,27.27,50.0,0.0,0.17,6.7,1.5,0.3,6
Anfernee Hardaway,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Pete Chilcutt,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Sherell Ford,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jae'Sean Tate,Rockets,82.09,31.71,72.13,0.62,0.86,36.1,2.8,3.9,29
Nikola Jovic,Heat,76.87,24.14,94.12,0.42,0.0,20.8,0.4,2.2,12
Dru Smith,"Nets, Heat",76.77,26.32,100.0,0.08,0.23,12.2,1.5,1.5,13
Udonis Haslem,Heat,70.69,37.5,80.0,0.0,0.0,14.8,0.0,1.7,6
Billy Owens,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ronnie Grandison,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Steve Nash,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Donny Marshall,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ron Harper,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
David Duke Jr.,Nets,78.21,12.5,63.64,0.37,0.47,13.3,0.9,1.1,19
Derek Harper,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Chima Moneke,Kings,90.91,0.0,0.0,0.5,0.0,10.0,0.5,1.0,2
Alex Len,Kings,92.07,0.0,68.75,0.38,0.05,14.9,0.5,2.6,21
Willie Anderson,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ty Jerome,Warriors,77.24,40.48,91.89,0.34,0.24,21.8,3.2,2.0,38
Moussa Diabate,Clippers,84.0,50.0,75.0,0.18,0.29,12.9,0.2,2.6,17
Eddie Jones,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Rumeal Robinson,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Blake Wesley,Spurs,73.64,35.42,61.9,1.09,0.74,23.6,2.5,2.1,34
Ochai Agbaji,Jazz,71.82,36.04,79.69,0.28,0.38,23.2,1.2,2.2,53
Leandro Bolmaro,Jazz,70.45,0.0,0.0,0.6,0.1,6.2,0.6,0.6,10
Udoka Azubuike,Jazz,95.59,0.0,35.0,0.16,0.09,17.8,0.3,3.6,32
Micah Potter,Jazz,88.64,57.14,0.0,0.17,0.0,13.7,0.7,2.7,6
Jack White,Nuggets,80.0,28.57,66.67,0.0,0.1,6.8,0.4,1.5,10
Admiral Schofield,Magic,79.23,30.43,91.3,0.33,0.18,16.3,0.9,1.8,33
Robert Werdann,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
B.J. Tyler,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Howard Eisley,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Terrence Rencher,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Myles Turner,Pacers,81.74,37.67,78.03,0.6,0.49,53.4,1.4,7.4,53
Johnny Davis,Wizards,69.74,24.19,52.17,0.55,0.32,20.5,1.0,2.6,22
Alton Lister,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Isaiah Todd,Wizards,60.0,10.0,100.0,0.0,0.2,10.2,0.8,2.4,5
Garrett Temple,Pelicans,71.91,44.0,75.0,0.1,0.1,6.8,0.5,0.8,21
Frank Kaminsky,"Rockets, Hawks",83.23,44.83,83.33,0.2,0.12,12.0,1.2,1.8,25
Vit Krejci,Hawks,77.11,12.5,0.0,0.11,0.17,7.2,0.9,1.2,18
Jason Kidd,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Justin Champagnie,"Celtics, Raptors",58.33,20.0,0.0,0.0,0.67,9.7,1.0,1.7,3
Dana Barros,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jon Koncak,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Marques Bragg,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Doug Christie,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Andrew DeClercq,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Kennedy Chandler,Grizzlies,76.47,14.29,44.44,0.39,0.39,11.6,2.1,1.4,23
Tom Gugliotta,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Dwight Powell,Mavericks,93.64,0.0,67.61,0.22,0.24,30.4,1.0,4.2,67
Jaden Hardy,Mavericks,71.45,41.5,81.58,0.56,0.66,24.4,1.6,2.0,41
David Vaughn,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Seth Curry,Nets,72.06,40.1,92.16,0.35,0.2,22.3,1.5,1.5,54
Shawn Kemp,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Reggie Jordan,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jordan Goodwin,Wizards,78.16,32.69,76.36,0.65,0.48,24.3,2.7,3.3,54
Jordan Schakel,Wizards,66.67,100.0,0.0,0.0,0.0,5.0,1.0,0.0,1
Taj Gibson,Wizards,86.39,22.22,70.0,0.12,0.14,16.1,0.8,2.0,43
Vin Baker,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Malaki Branham,Spurs,72.79,31.58,81.54,0.75,0.59,30.1,2.0,2.8,59
Kenneth Lofton Jr.,Grizzlies,79.67,42.86,62.5,0.26,0.21,16.4,0.9,2.4,19
Vince Williams Jr.,Grizzlies,63.38,15.38,100.0,0.0,0.1,9.6,0.4,1.5,10
Mark Bryant,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Nerlens Noel,"Pistons, Nets",85.9,50.0,66.67,0.31,0.12,17.3,0.6,2.9,16
John Amaechi,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Tyrone Hill,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Matthew Dellavedova,Kings,76.0,34.62,57.14,0.22,0.04,8.8,1.8,0.6,23
Elliot Perry,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Sean Rooks,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Quentin Grimes,Knicks,73.82,37.19,81.18,0.48,0.26,28.2,1.9,3.1,65
Kevin Gamble,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Vincent Askew,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Thanasis Antetokounmpo,Bucks,82.98,0.0,50.0,0.08,0.17,10.2,0.6,1.8,24
Rodney McGruder,Pistons,74.49,45.88,81.25,0.27,0.31,18.8,1.0,2.5,26
Braxton Key,Pistons,100.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,2
Otto Porter Jr.,Raptors,81.25,35.29,100.0,0.38,0.0,18.0,1.0,2.4,8
Jordan Hall,Spurs,67.39,23.08,77.78,0.29,0.14,10.3,1.1,1.3,7
Rick Mahorn,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Charles Bassey,Spurs,91.23,37.5,59.46,0.53,0.09,30.0,1.4,5.8,32
Dominick Barlow,Spurs,87.68,0.0,72.0,0.27,0.27,19.8,0.8,3.6,26
Jeff Dowtin Jr.,Raptors,75.53,23.08,66.67,0.06,0.12,9.3,1.4,1.1,16
Corey Kispert,Wizards,76.36,42.56,85.29,0.32,0.42,28.1,1.2,2.7,66
Dontonio Wingfield,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mitchell Butler,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Anthony Lamb,Warriors,81.17,35.96,73.47,0.54,0.2,26.0,1.6,3.5,54
Patrick Baldwin Jr.,Warriors,67.34,38.55,66.67,0.16,0.12,12.2,0.4,1.5,25
Jericho Sims,Knicks,96.15,0.0,72.73,0.17,0.13,23.0,0.5,4.8,46
Dennis Scott,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Wesley Person,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mamadi Diakite,Cavaliers,82.08,28.57,100.0,0.07,0.07,12.9,0.2,1.6,14
Juwan Howard,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jimmy King,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jud Buechler,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Trendon Watford,Trail Blazers,84.28,41.67,68.89,0.56,0.23,26.5,2.1,3.9,57
John Butler Jr.,Trail Blazers,67.86,22.86,75.0,0.07,0.13,10.9,0.7,1.1,15
Shaquille O'Neal,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Adam Keefe,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Tony Smith,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Trent Forrest,Hawks,81.29,0.0,66.67,0.61,0.33,15.6,2.1,1.9,18
Jarrett Culver,Hawks,80.7,10.0,69.23,0.5,0.5,24.2,0.8,4.4,8
Lucious Harris,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Anthony Tucker,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Andrew Lang,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Miles McBride,Knicks,70.12,30.65,71.05,0.15,0.19,12.4,1.2,0.9,52
Svi Mykhailiuk,"Knicks, Hornets",72.73,43.68,65.71,0.62,0.42,21.2,2.0,1.8,24
Ryan Arcidiacono,"Trail Blazers, Knicks",74.7,40.0,0.0,0.45,0.09,12.0,1.5,1.4,11
Frank Ntilikina,Mavericks,77.75,26.23,64.52,0.32,0.17,14.3,1.3,1.4,41
Andy Toolson,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Eric Williams,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Alec Burks,Pistons,71.16,42.29,81.53,0.5,0.26,30.7,2.2,2.9,42
J.D. Davison,Celtics,75.0,28.57,50.0,0.43,0.14,9.0,1.6,1.1,7
Chucky Brown,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Marvin Bagley III,Pistons,79.84,31.48,76.25,0.37,0.34,35.9,0.9,6.0,35
Vernon Carey Jr.,Wizards,76.0,0.0,100.0,0.0,0.12,5.0,0.4,1.2,8
George McCloud,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Lindsey Hunter,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LaMelo Ball,Hornets,69.91,38.05,83.5,1.71,0.74,62.5,8.6,6.4,31
Jamal Cain,Heat,84.25,38.89,77.27,0.2,0.07,18.0,0.7,3.1,15
Greg Minor,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mario Elie,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Donnie Boyce,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Rick Fox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
TyTy Washington Jr.,Rockets,67.97,26.76,56.25,0.29,0.14,14.6,1.6,1.5,28
Kevin Duckworth,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jaren Jackson Jr.,Grizzlies,79.18,35.47,79.44,0.74,1.06,54.9,1.0,6.6,53
Sam Cassell,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A.J. Lawson,"Mavericks, Timberwolves",78.31,40.91,25.0,0.18,0.18,12.8,0.1,1.8,11
Ish Wainright,Suns,76.23,32.68,82.76,0.11,0.11,16.6,0.9,2.2,53
Doc Rivers,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Davis Bertans,Mavericks,75.24,40.34,91.67,0.19,0.08,14.5,0.5,1.3,36
Joe Wolf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Doug Smith,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AJ Green,Bucks,71.9,40.24,100.0,0.15,0.04,13.0,0.8,1.4,26
Corliss Williamson,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Tim Breaux,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Toni Kukoc,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Keon Ellis,Kings,76.47,54.55,57.14,0.0,0.0,4.8,0.5,0.6,13
Willie Burton,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Gary Harris,Magic,75.91,44.39,89.29,0.28,0.28,23.8,1.1,2.1,43
Chris Mills,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Donald Royal,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Theo Pinson,Mavericks,77.06,34.62,81.82,0.19,0.16,11.7,1.4,1.8,31
Jerome Allen,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Kenny Anderson,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Dennis Schroder,Lakers,71.92,33.83,84.58,1.17,0.71,34.4,4.6,2.4,59
Thomas Bryant,"Nuggets, Lakers",86.68,47.17,71.96,0.27,0.61,34.7,0.5,6.1,51
Clifford Robinson,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Orlando Robinson,Heat,89.58,0.0,70.97,0.21,0.29,22.3,0.9,4.0,28
Jayson Williams,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Antoine Carr,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jamal Mashburn,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Robert Parish,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Antonio Harvey,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Stefano Rusconi,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Terry Cummings,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Pat Connaughton,Bucks,75.52,34.04,70.97,0.29,0.25,27.4,1.2,4.7,55
Derrick Alston,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Julian Champagnie,"76ers, Spurs",72.69,39.71,76.92,0.36,0.21,25.1,0.6,3.8,14
Vernon Maxwell,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Eric Leckner,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Bill Wennington,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Darrin Hancock,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ron Harper Jr.,Raptors,76.0,42.86,100.0,0.0,0.14,6.0,0.6,1.0,7
Kendall Brown,Pacers,89.29,0.0,50.0,0.0,0.17,8.5,0.5,1.0,6
Joe Dumars,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Antonio Davis,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Harvey Grant,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Anthony Mason,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Yinka Dare,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Thomas Hamilton,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Lorenzo Williams,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hakeem Olajuwon,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Moritz Wagner,Magic,81.2,31.97,84.85,0.4,0.56,33.7,1.5,4.6,52
Kenny Smith,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Brent Price,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Devon Dotson,Wizards,69.57,0.0,0.0,0.0,0.25,8.0,1.2,1.5,4
LaPhonso Ellis,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Josh Minott,Timberwolves,76.56,33.33,100.0,0.0,0.3,10.6,0.3,2.2,10
Mfiondu Kabengele,Celtics,78.26,0.0,100.0,0.0,0.0,9.5,0.0,2.5,4
Danny Manning,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
John Coker,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Michael Cage,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Markelle Fultz,Magic,77.14,30.38,78.26,1.34,0.7,39.1,5.6,3.9,56
James Robinson,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Alize Johnson,Spurs,89.29,0.0,50.0,0.25,0.0,12.8,0.2,2.5,4
Johnny Newman,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Armen Gilliam,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Tyus Edney,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Lou Roe,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
