player_name,teams,FG%,3PT FG%,FT%,SPG,BPG,PPG,APG,RPG,games_played
Kevin Durant,"Nets, Suns",76.99,42.06,91.8,2.34,0.55,62.2,4.8,6.7,44
Jonas Valanciunas,Pelicans,85.34,28.57,82.46,0.85,0.57,56.6,1.8,10.1,72
Ben Simmons,Nets,89.1,0.0,38.78,0.92,0.28,40.0,6.1,6.4,36
Zion Williamson,Pelicans,82.38,26.67,72.51,1.88,1.56,67.2,4.4,7.0,25
Herbert Jones,Pelicans,80.15,35.14,75.68,0.42,0.53,34.7,2.5,4.1,59
Kyrie Irving,"Nets, Mavericks",71.18,37.2,90.8,1.23,0.95,58.2,5.7,5.0,56
CJ McCollum,Pelicans,68.69,39.84,77.78,1.37,0.78,49.2,5.7,4.3,68
Brandon Ingram,Pelicans,71.84,38.36,87.75,1.95,0.76,55.3,6.0,5.3,41
Jose Alvarado,Pelicans,72.9,35.4,82.05,0.85,0.51,28.1,3.1,2.3,55
Royce O'Neale,Nets,77.12,38.85,71.64,0.79,0.37,35.5,3.8,5.1,68
Edmond Sumner,Nets,75.53,34.67,91.46,0.42,0.46,18.4,1.2,1.4,48
Day'Ron Sharpe,Nets,87.48,60.0,66.67,0.36,0.36,24.3,0.7,4.4,39
Larry Nance Jr.,Pelicans,88.04,33.33,68.49,0.26,0.23,28.3,1.8,5.5,61
Patty Mills,Nets,68.71,38.74,95.0,0.29,0.19,15.7,1.5,1.1,31
Trey Murphy III,Pelicans,74.18,40.78,90.53,0.31,0.29,34.9,1.5,3.4,72
Cam Thomas,Nets,66.35,34.58,88.03,0.61,0.2,21.7,1.4,1.8,46
Markieff Morris,"Nets, Mavericks",79.92,43.64,100.0,0.27,0.0,14.6,0.9,1.9,30
Devonte' Graham,"Pelicans, Spurs",69.47,36.39,74.4,0.45,0.15,20.1,2.7,1.7,67
Naji Marshall,Pelicans,76.31,31.5,78.49,0.69,0.51,30.4,2.6,3.7,71
Yuta Watanabe,Nets,80.75,45.05,68.42,0.12,0.19,18.5,0.9,2.4,48
Kessler Edwards,"Nets, Kings",79.07,32.08,73.33,0.3,0.15,16.1,0.7,2.2,27
Dyson Daniels,Pelicans,83.54,30.95,65.0,0.71,0.18,22.7,2.4,3.4,55
Jalen Smith,Pacers,79.42,25.48,76.11,0.38,0.64,33.5,0.9,5.4,56
Kristaps Porzingis,Wizards,77.43,38.56,83.89,1.14,0.89,61.7,2.7,8.5,57
Monte Morris,Wizards,75.92,37.99,86.57,0.71,0.27,29.2,5.2,3.3,55
Bradley Beal,Wizards,72.13,37.09,83.71,1.85,0.67,51.0,5.4,4.0,48
Tyrese Haliburton,Pacers,72.13,40.24,86.13,1.77,0.74,45.6,10.3,3.6,47
Chris Duarte,Pacers,70.65,31.58,82.54,0.6,0.35,24.4,1.4,2.6,40
Kyle Kuzma,Wizards,72.92,33.26,72.94,1.14,0.9,57.9,3.6,7.0,58
Deni Avdija,Wizards,81.41,29.02,74.1,0.84,0.46,37.9,2.7,6.4,67
Buddy Hield,Pacers,73.37,42.31,82.86,1.16,0.43,42.9,2.8,5.1,68
Terry Taylor,"Pacers, Bulls",80.13,25.0,54.55,0.05,0.32,13.7,0.5,2.2,19
Bennedict Mathurin,Pacers,71.97,33.71,82.11,0.98,1.15,41.9,1.5,4.3,66
T.J. McConnell,Pacers,81.49,43.14,84.75,1.21,0.21,29.0,5.3,3.1,63
Isaiah Jackson,Pacers,85.85,18.18,65.55,0.34,0.47,29.2,0.8,4.4,53
Rui Hachimura,"Lakers, Wizards",75.18,31.29,74.56,0.46,0.64,31.2,0.9,4.6,59
Delon Wright,Wizards,79.54,35.05,86.79,0.5,0.31,25.0,3.9,3.6,42
Daniel Gafford,Wizards,92.68,0.0,67.84,0.45,0.36,35.8,1.1,5.6,69
Aaron Nesmith,Pacers,77.52,39.18,84.35,0.48,0.69,35.0,1.3,3.7,62
Oshae Brissett,Pacers,75.11,30.71,70.0,0.23,0.3,19.8,0.7,3.2,56
Anthony Gill,Wizards,85.56,11.11,71.7,0.14,0.18,13.9,0.6,1.8,50
Will Barton,"Wizards, Raptors",69.59,37.97,80.49,0.47,0.47,20.7,2.1,2.4,49
Goga Bitadze,"Pacers, Magic",87.2,20.83,53.85,0.31,0.31,21.8,1.1,3.8,35
Fred Hoiberg,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Domantas Sabonis,Kings,87.48,38.16,72.89,1.44,0.79,68.4,7.2,12.2,73
De'Aaron Fox,Kings,73.87,32.54,77.26,1.79,0.67,56.5,6.3,4.3,67
KZ Okpala,Kings,86.81,33.33,87.5,0.08,0.08,10.5,0.4,1.0,25
Anfernee Simons,Trail Blazers,67.79,37.43,88.75,1.22,0.67,45.2,4.1,2.5,58
Harrison Barnes,Kings,74.71,37.04,84.51,0.59,0.41,36.1,1.6,4.6,76
Josh Hart,"Trail Blazers, Knicks",85.4,35.33,75.3,0.9,0.51,41.0,3.8,8.0,68
Jusuf Nurkic,Trail Blazers,84.71,36.04,66.49,1.1,0.69,55.8,2.9,9.0,49
Kevin Huerter,Kings,74.73,41.0,75.42,0.72,0.3,38.1,3.0,3.3,69
Jerami Grant,Trail Blazers,71.91,39.22,81.42,0.92,0.88,46.1,2.4,4.4,59
Damian Lillard,Trail Blazers,69.15,37.14,91.13,2.27,0.78,63.3,7.2,4.8,55
Drew Eubanks,Trail Blazers,90.16,38.89,65.25,0.41,0.12,30.0,1.3,5.3,73
Justise Winslow,Trail Blazers,80.65,31.71,72.22,0.81,0.41,34.3,3.4,5.0,27
Malik Monk,Kings,72.43,35.56,89.74,1.06,0.72,34.9,3.8,2.6,72
Davion Mitchell,Kings,78.43,31.49,80.77,0.46,0.14,20.8,2.3,1.2,74
Terence Davis,Kings,74.81,36.4,78.05,0.46,0.22,21.7,1.1,2.3,59
Shaedon Sharpe,Trail Blazers,75.22,36.68,71.72,0.68,0.39,27.4,1.2,2.9,76
Richaun Holmes,Kings,89.47,71.43,78.95,0.11,0.22,15.2,0.2,2.1,37
Trey Lyles,Kings,79.59,36.91,79.65,0.49,0.27,25.9,0.9,4.1,70
Muggsy Bogues,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Nassir Little,Trail Blazers,76.04,37.5,72.09,0.42,0.37,21.3,1.0,2.6,52
Deandre Ayton,Suns,83.26,33.33,76.88,0.82,0.59,56.6,1.6,9.8,61
JaVale McGee,Mavericks,89.26,40.0,58.97,0.32,0.19,18.2,0.2,2.5,37
Mikal Bridges,"Nets, Suns",69.1,37.07,89.02,1.08,0.66,43.8,3.4,4.3,74
Luka Doncic,Mavericks,72.95,33.4,74.87,2.56,0.68,71.3,7.9,8.8,57
Reggie Bullock,Mavericks,75.97,36.18,71.43,0.23,0.11,25.1,1.4,3.7,70
Cameron Johnson,"Nets, Suns",74.77,41.52,85.32,0.61,0.61,38.9,1.8,4.3,38
Chris Paul,Suns,73.54,37.71,82.64,1.41,0.11,38.9,8.5,4.1,54
Dorian Finney-Smith,"Mavericks, Nets",76.01,34.88,75.93,0.57,0.33,31.8,1.5,4.7,58
Devin Booker,Suns,69.87,34.71,85.76,1.7,0.74,55.7,5.7,4.5,47
Spencer Dinwiddie,"Mavericks, Nets",70.73,36.77,82.88,0.96,0.75,42.9,6.7,3.5,67
Christian Wood,Mavericks,79.31,37.1,77.38,0.72,0.62,47.1,1.7,7.3,61
Cameron Payne,Suns,70.09,37.57,74.07,0.86,0.42,28.2,4.3,2.1,43
Jock Landale,Suns,83.85,25.0,74.23,0.37,0.32,25.5,1.0,3.9,63
Torrey Craig,Suns,81.37,38.5,71.79,0.45,0.31,32.0,1.5,5.5,71
Tim Hardaway Jr.,Mavericks,65.55,38.53,78.95,0.46,0.37,31.3,1.9,3.4,63
Josh Okogie,Suns,75.58,33.33,73.45,0.39,0.3,24.4,1.4,3.5,64
Maxi Kleber,Mavericks,82.27,33.65,72.22,0.31,0.11,24.5,1.5,3.5,35
Josh Green,Mavericks,82.4,40.0,73.81,0.69,0.42,31.1,1.8,3.2,55
Damion Lee,Suns,76.95,44.59,89.9,0.48,0.16,25.1,1.3,3.0,67
Dario Saric,"Thunder, Suns",81.84,39.62,82.86,0.5,0.33,24.9,1.3,3.7,54
Bismack Biyombo,Suns,89.66,0.0,38.1,0.3,0.19,23.9,0.9,4.4,54
Jakob Poeltl,"Raptors, Spurs",88.26,0.0,60.23,1.02,0.48,51.1,2.9,9.0,62
Gordon Hayward,Hornets,74.59,33.56,80.52,0.94,0.38,38.8,4.1,4.3,47
Tre Jones,Spurs,74.11,29.71,86.93,1.1,0.57,36.5,6.3,3.4,61
Kelly Oubre Jr.,Hornets,69.13,31.53,75.61,0.72,1.15,49.4,1.1,5.2,47
Devin Vassell,Spurs,68.57,39.02,77.66,0.91,0.46,43.2,3.7,3.9,35
Mason Plumlee,"Clippers, Hornets",91.84,0.0,63.46,0.68,0.48,45.8,3.1,8.7,75
Keldon Johnson,Spurs,69.97,33.43,74.01,1.27,0.98,49.6,3.0,4.8,56
Terry Rozier,Hornets,64.98,33.4,80.4,1.12,1.05,46.7,5.2,4.2,58
P.J. Washington,Hornets,73.34,34.65,72.5,0.91,0.86,44.9,2.4,5.0,69
Jeremy Sochan,Spurs,77.96,24.39,68.57,0.9,0.9,41.1,2.6,5.4,50
Joshua Primo,Spurs,77.33,25.0,77.78,1.25,1.0,31.5,4.5,3.2,4
Jalen McDaniels,"76ers, Hornets",78.36,32.26,84.62,0.59,0.53,33.4,1.6,4.4,74
Doug McDermott,Spurs,73.58,41.64,75.38,0.41,0.34,27.0,1.4,2.1,58
Nick Richards,Hornets,89.94,100.0,73.81,0.22,0.6,34.6,0.6,6.4,60
Josh Richardson,"Pelicans, Spurs",72.22,36.84,85.14,0.79,0.16,28.1,2.7,2.6,58
Cody Martin,Hornets,75.81,16.67,40.0,0.2,0.6,19.6,2.0,2.6,5
Dennis Smith Jr.,Hornets,74.62,21.15,72.63,0.92,0.74,31.1,4.9,3.2,50
Zach Collins,Spurs,83.44,36.96,76.15,0.93,0.5,45.0,3.0,6.4,58
Keita Bates-Diop,Spurs,79.53,37.5,80.14,0.47,0.58,28.9,1.5,3.7,62
JT Thor,Hornets,79.02,32.43,75.0,0.4,0.19,16.6,0.5,2.2,62
James Bouknight,Hornets,70.26,30.69,66.67,0.5,0.38,18.7,1.3,2.2,32
