game_id,home_team,home_score,away_team,away_score,winner
22201199,Spurs,129,Trail Blazers,127,Spurs
22201200,Jazz,98,Thunder,114,Thunder
22201201,Suns,119,Nuggets,115,Suns
22201202,Hornets,109,Rockets,112,Rockets
22201203,Pacers,115,Pistons,122,Pistons
22201204,Wizards,114,Heat,108,Wizards
22201205,Hawks,131,76ers,136,76ers
22201206,Celtics,121,Raptors,102,Celtics
22201207,Nets,101,Magic,84,Nets
22201208,Bucks,114,Grizzlies,137,Grizzlies
22201209,Pelicans,113,Knicks,105,Pelicans
22201210,Mavericks,112,Bulls,115,Bulls
22201211,Kings,97,Warriors,119,Warriors
22201212,Lakers,121,Suns,107,Lakers
22201213,Nuggets,118,Jazz,114,Nuggets
22201215,Clippers,136,Trail Blazers,125,Clippers
22201216,Celtics,120,Hawks,114,Celtics
22201219,Heat,123,Magic,110,Heat
22201220,Knicks,136,Pacers,141,Pacers
22201221,Raptors,121,Bucks,105,Raptors
22201222,Wizards,109,Rockets,114,Rockets
22201223,Bulls,103,Pistons,81,Bulls
22201224,Mavericks,117,Spurs,138,Spurs
22201226,Thunder,115,Grizzlies,100,Thunder
22201227,Nuggets,109,Kings,95,Nuggets
22201228,Lakers,128,Jazz,117,Lakers
22201229,Suns,114,Clippers,119,Clippers
22201230,Trail Blazers,101,Warriors,157,Warriors
