,home_team,home_score,away_team,away_score,winner,wins_home,losses_home,FG%_home,3PT FG%_home,FT%_home,offensive_rating_home,defensive_rating_home,average_assists_home,average_rebounds_home,wins_away,losses_away,FG%_away,3PT FG%_away,FT%_away,offensive_rating_away,defensive_rating_away,average_assists_away,average_rebounds_away
991,3,120,2,112,1,38,33,78.94,38.61,79.35,118.59,116.66,29.75,44.89,46,26,79.25,39.14,83.32,115.43,111.9,25.15,40.75
992,4,116,20,111,1,40,32,79.07,35.06,76.73,117.14,115.24,25.71,46.26,38,40,78.0,35.76,80.58,117.14,116.35,24.14,43.74
993,25,100,9,129,0,40,32,77.42,34.86,83.08,110.08,109.83,24.07,40.57,41,31,79.12,38.09,79.88,113.25,111.67,25.51,40.42
994,8,129,30,106,1,49,28,79.61,37.96,75.1,115.65,112.95,28.77,43.25,55,20,79.3,37.1,73.93,117.6,113.45,25.95,49.11
995,15,125,2,105,1,41,33,77.73,37.6,79.44,113.43,111.32,27.04,44.03,46,26,79.25,39.14,83.32,115.43,111.9,25.15,40.75
996,13,121,7,113,1,44,32,79.42,37.13,78.62,120.59,118.2,27.37,42.5,33,44,78.49,35.16,78.27,116.51,118.17,25.78,45.75
997,27,110,10,131,0,41,36,78.61,37.7,77.69,113.56,112.99,23.99,43.39,42,33,79.25,36.96,79.22,115.09,112.36,26.09,43.63
998,18,110,16,104,1,25,51,77.91,33.32,74.51,111.16,117.66,25.29,44.45,33,40,78.08,36.93,76.39,113.66,114.0,22.86,38.96
999,4,108,26,118,0,40,32,79.07,35.06,76.73,117.14,115.24,25.71,46.26,34,39,78.99,35.31,80.99,112.52,111.9,24.21,42.23
1000,29,119,23,123,0,37,36,77.92,35.2,81.62,118.7,117.82,24.89,44.89,44,25,78.59,34.81,74.24,116.68,112.14,26.06,46.42
1001,1,137,17,93,1,54,23,77.85,37.77,80.47,117.39,110.87,26.75,45.45,21,53,78.28,34.76,74.49,112.49,121.97,27.07,43.42
1002,22,108,28,91,1,43,27,79.1,36.94,78.29,112.57,107.67,24.56,41.01,21,52,78.83,33.13,75.27,110.92,118.38,22.41,46.21
1003,6,119,9,106,1,30,46,78.51,34.92,78.58,111.2,113.58,23.17,43.17,41,31,79.12,38.09,79.88,113.25,111.67,25.51,40.42
1004,21,114,12,104,1,35,40,76.74,34.06,78.37,112.43,111.73,24.08,43.01,32,40,79.0,35.28,78.07,113.26,114.36,25.43,43.83
1005,14,112,20,118,0,29,48,78.31,36.68,79.39,113.01,117.74,24.03,40.42,38,40,78.0,35.76,80.58,117.14,116.35,24.14,43.74
1006,3,96,19,99,0,38,33,78.94,38.61,79.35,118.59,116.66,29.75,44.89,37,36,79.44,36.03,75.59,115.05,115.51,25.81,42.15
1007,5,117,30,126,0,14,55,77.78,35.57,77.4,110.48,118.41,23.29,42.07,55,20,79.3,37.1,73.93,117.6,113.45,25.95,49.11
1008,11,104,16,127,0,29,41,78.31,36.79,78.36,115.94,118.99,26.94,41.31,33,40,78.08,36.93,76.39,113.66,114.0,22.86,38.96
1009,7,103,15,117,0,33,44,78.49,35.16,78.27,116.51,118.17,25.78,45.75,41,33,77.73,37.6,79.44,113.43,111.32,27.04,44.03
1010,8,116,2,111,1,49,28,79.61,37.96,75.1,115.65,112.95,28.77,43.25,46,26,79.25,39.14,83.32,115.43,111.9,25.15,40.75
1011,14,90,10,124,0,29,48,78.31,36.68,79.39,113.01,117.74,24.03,40.42,42,33,79.25,36.96,79.22,115.09,112.36,26.09,43.63
1012,13,115,19,119,0,44,32,79.42,37.13,78.62,120.59,118.2,27.37,42.5,37,36,79.44,36.03,75.59,115.05,115.51,25.81,42.15
1013,27,124,26,112,1,41,36,78.61,37.7,77.69,113.56,112.99,23.99,43.39,34,39,78.99,35.31,80.99,112.52,111.9,24.21,42.23
1014,12,130,1,111,1,32,40,79.0,35.28,78.07,113.26,114.36,25.43,43.83,54,23,77.85,37.77,80.47,117.39,110.87,26.75,45.45
1015,29,120,22,118,1,37,36,77.92,35.2,81.62,118.7,117.82,24.89,44.89,43,27,79.1,36.94,78.29,112.57,107.67,24.56,41.01
1016,21,106,25,92,1,35,40,76.74,34.06,78.37,112.43,111.73,24.08,43.01,40,32,77.42,34.86,83.08,110.08,109.83,24.07,40.57
1017,23,113,6,108,1,44,25,78.59,34.81,74.24,116.68,112.14,26.06,46.42,30,46,78.51,34.92,78.58,111.2,113.58,23.17,43.17
1018,20,134,18,137,0,38,40,78.0,35.76,80.58,117.14,116.35,24.14,43.74,25,51,77.91,33.32,74.51,111.16,117.66,25.29,44.45
1019,3,120,10,109,1,38,33,78.94,38.61,79.35,118.59,116.66,29.75,44.89,42,33,79.25,36.96,79.22,115.09,112.36,26.09,43.63
1020,11,136,30,149,0,29,41,78.31,36.79,78.36,115.94,118.99,26.94,41.31,55,20,79.3,37.1,73.93,117.6,113.45,25.95,49.11
1021,2,116,16,108,1,46,26,79.25,39.14,83.32,115.43,111.9,25.15,40.75,33,40,78.08,36.93,76.39,113.66,114.0,22.86,38.96
1022,26,110,4,121,0,34,39,78.99,35.31,80.99,112.52,111.9,24.21,42.23,40,32,79.07,35.06,76.73,117.14,115.24,25.71,46.26
1023,20,107,5,106,1,38,40,78.0,35.76,80.58,117.14,116.35,24.14,43.74,14,55,77.78,35.57,77.4,110.48,118.41,23.29,42.07
1024,17,117,7,128,0,21,53,78.28,34.76,74.49,112.49,121.97,27.07,43.42,33,44,78.49,35.16,78.27,116.51,118.17,25.78,45.75
